week_number,area_reported,cases_reported
1,Colombo,0
1,Gampaha,0
1,Kalutara,0
1,Kandy,0
1,Matale,0
1,NuwaraEliya,2
1,Galle,1
1,Hambantota,0
1,Matara,1
1,Jaffna,1
1,Kilinochchi,0
1,Mannar,0
1,Vavuniya,0
1,Mullaitivu,0
1,Batticaloa,1
1,Ampara,0
1,Trincomalee,1
1,Kurunegala,5
1,Puttalam,2
1,Anuradhapura,0
1,Polonnaruwa,0
1,Badulla,2
1,Monaragala,0
1,Ratnapura,8
1,Kegalle,3
1,Kalmune,0
2,Colombo,0
2,Gampaha,3
2,Kalutara,3
2,Kandy,0
2,Matale,0
2,NuwaraEliya,0
2,Galle,1
2,Hambantota,0
2,Matara,0
2,Jaffna,0
2,Kilinochchi,0
2,Mannar,0
2,Vavuniya,0
2,Mullaitivu,0
2,Batticaloa,1
2,Ampara,1
2,Trincomalee,1
2,Kurunegala,4
2,Puttalam,2
2,Anuradhapura,0
2,Polonnaruwa,2
2,Badulla,1
2,Monaragala,0
2,Ratnapura,1
2,Kegalle,1
2,Kalmune,1
3,Colombo,0
3,Gampaha,1
3,Kalutara,0
3,Kandy,0
3,Matale,0
3,NuwaraEliya,0
3,Galle,0
3,Hambantota,0
3,Matara,1
3,Jaffna,0
3,Kilinochchi,0
3,Mannar,0
3,Vavuniya,1
3,Mullaitivu,0
3,Batticaloa,1
3,Ampara,0
3,Trincomalee,0
3,Kurunegala,4
3,Puttalam,3
3,Anuradhapura,0
3,Polonnaruwa,3
3,Badulla,1
3,Monaragala,5
3,Ratnapura,2
3,Kegalle,2
3,Kalmune,0
4,Colombo,0
4,Gampaha,3
4,Kalutara,5
4,Kandy,1
4,Matale,1
4,NuwaraEliya,0
4,Galle,0
4,Hambantota,0
4,Matara,1
4,Jaffna,0
4,Kilinochchi,0
4,Mannar,1
4,Vavuniya,0
4,Mullaitivu,0
4,Batticaloa,0
4,Ampara,1
4,Trincomalee,2
4,Kurunegala,2
4,Puttalam,1
4,Anuradhapura,1
