week_number,area_reported,cases_reported
1,Colombo,0
1,Gampaha,0
1,Kalutara,0
1,Kandy,0
1,Matale,13
1,NuwaraEliya,6
1,Galle,18
1,Hambantota,18
1,Matara,0
1,Jaffna,0
1,Kilinochchi,0
1,Mannar,0
1,Vavuniya,0
1,Mullaitivu,3
1,Batticaloa,4
1,Ampara,2
1,Trincomalee,2
1,Kalmune,2
1,Kurunegala,0
1,Puttalam,0
1,Anuradhapura,0
1,Polonnaruwa,0
1,Badulla,0
1,Monaragala,0
1,Ratnapura,0
1,Kegalle,0
2,Colombo,0
2,Gampaha,0
2,Kalutara,0
2,Kandy,0
2,Matale,0
2,NuwaraEliya,0
2,Galle,0
2,Hambantota,0
2,Matara,0
2,Jaffna,0
2,Kilinochchi,5
2,Mannar,1
2,Vavuniya,1
2,Mullaitivu,0
2,Batticaloa,1
2,Ampara,0
2,Trincomalee,2
2,Kalmune,4
2,Kurunegala,1
2,Puttalam,2
2,Anuradhapura,0
2,Polonnaruwa,0
2,Badulla,14
2,Monaragala,11
2,Ratnapura,3
2,Kegalle,4
3,Colombo,0
3,Gampaha,0
3,Kalutara,0
3,Kandy,4
3,Matale,2
3,NuwaraEliya,5
3,Galle,0
3,Hambantota,0
3,Matara,0
3,Jaffna,7
3,Kilinochchi,0
3,Mannar,0
3,Vavuniya,0
3,Mullaitivu,1
3,Batticaloa,1
3,Ampara,1
3,Trincomalee,0
3,Kalmune,1
3,Kurunegala,23
3,Puttalam,0
3,Anuradhapura,21
3,Polonnaruwa,15
3,Badulla,1
3,Monaragala,1
3,Ratnapura,13
3,Kegalle,18
4,Colombo,50
4,Gampaha,25
4,Kalutara,31
4,Kandy,6
4,Matale,1
4,NuwaraEliya,4
4,Galle,24
4,Hambantota,12
4,Matara,3
4,Jaffna,14
4,Kilinochchi,0
4,Mannar,0
4,Vavuniya,9
4,Mullaitivu,0
4,Batticaloa,8
4,Ampara,0
4,Trincomalee,8
4,Kalmune,0
4,Kurunegala,1
4,Puttalam,1
4,Anuradhapura,0
