week_number,area_reported,cases_reported
1,Colombo,38
1,Gampaha,18
1,Kalutara,0
1,Kandy,0
1,Matale,19
1,NuwaraEliya,10
1,Galle,4
1,Hambantota,3
1,Matara,0
1,Jaffna,0
1,Kilinochchi,0
1,Mannar,0
1,Vavuniya,0
1,Mullaitivu,8
1,Batticaloa,4
1,Ampara,2
1,Trincomalee,2
1,Kalmune,2
1,Kurunegala,0
1,Puttalam,0
1,Anuradhapura,16
1,Polonnaruwa,3
1,Badulla,3
1,Monaragala,0
1,Ratnapura,7
1,Kegalle,10
2,Colombo,40
2,Gampaha,31
2,Kalutara,3
2,Kandy,24
2,Matale,0
2,NuwaraEliya,4
2,Galle,8
2,Hambantota,2
2,Matara,5
2,Jaffna,0
2,Kilinochchi,7
2,Mannar,2
2,Vavuniya,2
2,Mullaitivu,0
2,Batticaloa,1
2,Ampara,1
2,Trincomalee,3
2,Kalmune,6
2,Kurunegala,1
2,Puttalam,1
2,Anuradhapura,7
2,Polonnaruwa,0
2,Badulla,2
2,Monaragala,2
2,Ratnapura,4
2,Kegalle,7
3,Colombo,40
3,Gampaha,18
3,Kalutara,30
3,Kandy,5
3,Matale,2
3,NuwaraEliya,5
3,Galle,5
3,Hambantota,2
3,Matara,1
3,Jaffna,1
3,Kilinochchi,0
3,Mannar,0
3,Vavuniya,0
3,Mullaitivu,0
3,Batticaloa,9
3,Ampara,3
3,Trincomalee,2
3,Kalmune,3
3,Kurunegala,37
3,Puttalam,0
3,Anuradhapura,2
3,Polonnaruwa,2
3,Badulla,4
3,Monaragala,3
3,Ratnapura,2
3,Kegalle,3
4,Colombo,29
4,Gampaha,14
4,Kalutara,18
4,Kandy,21
4,Matale,4
4,NuwaraEliya,14
4,Galle,6
4,Hambantota,3
4,Matara,1
4,Jaffna,4
4,Kilinochchi,0
4,Mannar,0
4,Vavuniya,2
4,Mullaitivu,0
4,Batticaloa,4
4,Ampara,0
4,Trincomalee,3
4,Kalmune,0
4,Kurunegala,8
4,Puttalam,13
4,Anuradhapura,7
4,Polonnaruwa,1
4,Badulla,3
4,Monaragala,2
4,Ratnapura,8
4,Kegalle,3
5,Colombo,45
5,Gampaha,33
5,Kalutara,7
5,Kandy,26
5,Matale,7
5,NuwaraEliya,12
5,Galle,11
5,Hambantota,3
5,Matara,3
5,Jaffna,5
5,Kilinochchi,2
5,Mannar,0
5,Vavuniya,0
5,Mullaitivu,1
5,Batticaloa,0
5,Ampara,2
5,Trincomalee,5
5,Kalmune,4
5,Kurunegala,1
5,Puttalam,0
5,Anuradhapura,5
5,Polonnaruwa,0
5,Badulla,4
5,Monaragala,2
5,Ratnapura,12
5,Kegalle,6
6,Colombo,44
6,Gampaha,29
6,Kalutara,7
6,Kandy,2
6,Matale,0
6,NuwaraEliya,1
6,Galle,1
6,Hambantota,2
6,Matara,2
6,Jaffna,2
6,Kilinochchi,0
6,Mannar,1
6,Vavuniya,0
6,Mullaitivu,0
6,Batticaloa,0
6,Ampara,0
6,Trincomalee,1
6,Kalmune,1
6,Kurunegala,12
6,Puttalam,19
6,Anuradhapura,14
6,Polonnaruwa,0
6,Badulla,3
6,Monaragala,1
6,Ratnapura,2
6,Kegalle,0
7,Colombo,52
7,Gampaha,37
7,Kalutara,0
7,Kandy,13
7,Matale,23
7,NuwaraEliya,0
7,Galle,2
7,Hambantota,8
7,Matara,3
7,Jaffna,4
7,Kilinochchi,0
7,Mannar,0
7,Vavuniya,8
7,Mullaitivu,0
7,Batticaloa,0
7,Ampara,2
7,Trincomalee,2
7,Kalmune,0
7,Kurunegala,11
7,Puttalam,1
7,Anuradhapura,7
7,Polonnaruwa,2
7,Badulla,1
7,Monaragala,6
7,Ratnapura,9
7,Kegalle,8
8,Colombo,29
8,Gampaha,21
8,Kalutara,0
8,Kandy,6
8,Matale,11
8,NuwaraEliya,0
8,Galle,1
8,Hambantota,6
8,Matara,3
8,Jaffna,2
8,Kilinochchi,0
8,Mannar,0
8,Vavuniya,5
8,Mullaitivu,0
8,Batticaloa,2
8,Ampara,9
8,Trincomalee,9
8,Kalmune,0
8,Kurunegala,7
8,Puttalam,0
8,Anuradhapura,5
8,Polonnaruwa,2
8,Badulla,2
8,Monaragala,11
8,Ratnapura,3
8,Kegalle,3
9,Colombo,53
9,Gampaha,16
9,Kalutara,4
9,Kandy,2
9,Matale,8
9,NuwaraEliya,1
9,Galle,1
9,Hambantota,8
9,Matara,4
9,Jaffna,3
9,Kilinochchi,0
9,Mannar,1
9,Vavuniya,4
9,Mullaitivu,3
9,Batticaloa,2
9,Ampara,3
9,Trincomalee,6
9,Kalmune,0
9,Kurunegala,5
9,Puttalam,0
9,Anuradhapura,3
9,Polonnaruwa,1
9,Badulla,1
9,Monaragala,3
9,Ratnapura,8
9,Kegalle,7
10,Colombo,42
10,Gampaha,27
10,Kalutara,8
10,Kandy,0
10,Matale,0
10,NuwaraEliya,3
10,Galle,22
10,Hambantota,5
10,Matara,0
10,Jaffna,2
10,Kilinochchi,0
10,Mannar,1
10,Vavuniya,0
