week_number,area_reported,cases_reported
1,Colombo,1
1,Gampaha,0
1,Kalutara,1
1,Kandy,2
1,Matale,0
1,Nuwara Eliya,1
1,Galle,2
1,Hambantota,0
1,Matara,0
1,Jaffna,3
1,Kilinochchi,0
1,Mannar,0
1,Vavuniya,0
1,Mullaitivu,0
1,Batticaloa,1
1,Ampara,0
1,Trincomalee,0
1,Kurunegala,0
1,Puttalam,0
1,Anuradhapura,3
1,Polonnaruwa,1
1,Badulla,1
1,Monaragala,0
1,Ratnapura,7
1,Kegalle,2
1,Kalmunai,2
2,Colombo,1
2,Gampaha,0
2,Kalutara,2
2,Kandy,2
2,Matale,0
2,Nuwara Eliya,2
2,Galle,5
2,Hambantota,0
2,Matara,0
2,Jaffna,5
2,Kilinochchi,0
2,Mannar,0
2,Vavuniya,0
2,Mullaitivu,1
2,Batticaloa,4
2,Ampara,0
2,Trincomalee,4
2,Kurunegala,1
2,Puttalam,0
2,Anuradhapura,1
2,Polonnaruwa,1
2,Badulla,2
2,Monaragala,1
2,Ratnapura,0
2,Kegalle,5
2,Kalmunai,6
3,Colombo,1
3,Gampaha,0
3,Kalutara,1
3,Kandy,4
3,Matale,0
3,Nuwara Eliya,0
3,Galle,0
3,Hambantota,2
3,Matara,0
3,Jaffna,3
3,Kilinochchi,2
3,Mannar,0
3,Vavuniya,0
3,Mullaitivu,0
3,Batticaloa,5
3,Ampara,0
3,Trincomalee,0
3,Kurunegala,1
3,Puttalam,0
3,Anuradhapura,0
3,Polonnaruwa,0
3,Badulla,0
3,Monaragala,0
3,Ratnapura,7
3,Kegalle,1
3,Kalmunai,0
4,Colombo,0
4,Gampaha,0
4,Kalutara,0
4,Kandy,8
4,Matale,0
4,Nuwara Eliya,2
4,Galle,0
4,Hambantota,1
4,Matara,1
4,Jaffna,0
4,Kilinochchi,0
4,Mannar,0
4,Vavuniya,0
4,Mullaitivu,0
4,Batticaloa,5
4,Ampara,1
4,Trincomalee,1
4,Kurunegala,2
4,Puttalam,1
4,Anuradhapura,2
4,Polonnaruwa,3
4,Badulla,1
4,Monaragala,0
4,Ratnapura,4
4,Kegalle,1
4,Kalmunai,0
5,Colombo,2
5,Gampaha,4
5,Kalutara,0
5,Kandy,2
5,Matale,2
5,Nuwara Eliya,5
5,Galle,1
5,Hambantota,1
5,Matara,1
5,Jaffna,0
5,Kilinochchi,3
5,Mannar,0
5,Vavuniya,3
5,Mullaitivu,0
5,Batticaloa,27
5,Ampara,0
5,Trincomalee,8
5,Kurunegala,1
5,Puttalam,1
5,Anuradhapura,0
5,Polonnaruwa,0
5,Badulla,0
5,Monaragala,0
5,Ratnapura,1
5,Kegalle,4
5,Kalmunai,0
6,Colombo,0
6,Gampaha,1
6,Kalutara,2
6,Kandy,0
6,Matale,2
6,Nuwara Eliya,2
6,Galle,0
6,Hambantota,0
6,Matara,0
6,Jaffna,1
6,Kilinochchi,0
6,Mannar,0
6,Vavuniya,0
6,Mullaitivu,0
6,Batticaloa,1
6,Ampara,1
6,Trincomalee,0
6,Kurunegala,0
6,Puttalam,0
6,Anuradhapura,2
6,Polonnaruwa,0
6,Badulla,0
6,Monaragala,2
6,Ratnapura,2
6,Kegalle,0
6,Kalmunai,1
7,Colombo,0
7,Gampaha,1
7,Kalutara,2
7,Kandy,0
7,Matale,2
7,Nuwara Eliya,2
7,Galle,0
7,Hambantota,0
7,Matara,0
7,Jaffna,1
7,Kilinochchi,0
7,Mannar,0
7,Vavuniya,0
7,Mullaitivu,0
7,Batticaloa,1
7,Ampara,1
7,Trincomalee,0
7,Kurunegala,0
7,Puttalam,0
7,Anuradhapura,2
7,Polonnaruwa,0
7,Badulla,0
7,Monaragala,2
7,Ratnapura,2
7,Kegalle,0
7,Kalmunai,1
8,Colombo,0
8,Gampaha,1
8,Kalutara,1
8,Kandy,1
8,Matale,0
8,Nuwara Eliya,0
8,Galle,7
8,Hambantota,0
8,Matara,2
8,Jaffna,1
8,Kilinochchi,0
8,Mannar,0
8,Vavuniya,0
8,Mullaitivu,0
8,Batticaloa,6
8,Ampara,1
8,Trincomalee,1
8,Kurunegala,1
8,Puttalam,0
8,Anuradhapura,3
8,Polonnaruwa,1
8,Badulla,0
8,Monaragala,0
8,Ratnapura,1
8,Kegalle,4
8,Kalmunai,0
9,Colombo,0
9,Gampaha,3
9,Kalutara,0
9,Kandy,0
9,Matale,0
9,Nuwara Eliya,7
9,Galle,0
9,Hambantota,0
9,Matara,0
9,Jaffna,1
9,Kilinochchi,0
9,Mannar,0
9,Vavuniya,0
9,Mullaitivu,0
9,Batticaloa,1
9,Ampara,2
9,Trincomalee,0
9,Kurunegala,0
9,Puttalam,0
9,Anuradhapura,1
9,Polonnaruwa,0
9,Badulla,1
9,Monaragala,0
9,Ratnapura,3
9,Kegalle,1
9,Kalmunai,1
10,Colombo,6
10,Gampaha,3
10,Kalutara,1
10,Kandy,3
10,Matale,1
10,Nuwara Eliya,1
10,Galle,1
10,Hambantota,1
10,Matara,0
10,Jaffna,0
10,Kilinochchi,0
10,Mannar,0
10,Vavuniya,0
10,Mullaitivu,0
10,Batticaloa,5
10,Ampara,0
10,Trincomalee,0
10,Kurunegala,0
10,Puttalam,3
10,Anuradhapura,4
10,Polonnaruwa,1
10,Badulla,0
10,Moneragala,0
10,Ratnapura,0
10,Kegalle,2
10,Kalmunai,1
11,Colombo,1
11,Gampaha,0
11,Kalutara,1
11,Kandy,0
11,Matale,0
11,Nuwara Eliya,1
11,Galle,1
11,Hambantota,0
11,Matara,0
11,Jaffna,1
11,Kilinochchi,1
11,Mannar,0
11,Vavuniya,1
11,Mullaitivu,0
11,Batticaloa,3
11,Ampara,1
11,Trincomalee,1
11,Kurunegala,1
11,Puttalam,1
11,Anuradhapura,1
11,Polonnaruwa,0
11,Badulla,3
11,Moneragala,1
11,Ratnapura,3
11,Kegalle,1
11,Kalmunai,0
12,Colombo,0
12,Gampaha,1
12,Kalutara,0
12,Kandy,1
12,Matale,0
12,Nuwara Eliya,1
12,Galle,1
12,Hambantota,0
12,Matara,0
12,Jaffna,5
12,Kilinochchi,0
12,Mannar,0
12,Vavuniya,0
12,Mullaitivu,0
12,Batticaloa,2
12,Ampara,0
12,Trincomalee,0
12,Kurunegala,0
12,Puttalam,1
12,Anuradhapura,4
12,Polonnaruwa,0
12,Badulla,3
12,Moneragala,0
12,Ratnapura,1
12,Kegalle,2
12,Kalmunai,0
13,Colombo,1
13,Gampaha,3
13,Kalutara,1
13,Kandy,1
13,Matale,0
13,Nuwara Eliya,0
13,Galle,0
13,Hambantota,1
13,Matara,1
13,Jaffna,4
13,Kilinochchi,0
13,Mannar,0
13,Vavuniya,0
13,Mullaitivu,0
13,Batticaloa,1
13,Ampara,0
13,Trincomalee,4
13,Kurunegala,0
13,Puttalam,0
13,Anuradhapura,1
13,Polonnaruwa,0
13,Badulla,1
13,Moneragala,0
13,Ratnapura,5
13,Kegalle,1
13,Kalmunai,1
14,Colombo,2
14,Gampaha,1
14,Kalutara,0
14,Kandy,2
14,Matale,0
14,Nuwara Eliya,3
14,Galle,0
14,Hambantota,0
14,Matara,0
14,Jaffna,3
14,Kilinochchi,0
14,Mannar,0
14,Vavuniya,0
14,Mullaitivu,0
14,Batticaloa,2
14,Ampara,0
14,Trincomalee,1
14,Kurunegala,1
14,Puttalam,0
14,Anuradhapura,0
14,Polonnaruwa,0
14,Badulla,2
14,Moneragala,1
14,Ratnapura,3
14,Kegalle,4
14,Kalmunai,1
15,Colombo,1
15,Gampaha,1
15,Kalutara,1
15,Kandy,3
15,Matale,0
15,Nuwara Eliya,1
15,Galle,0
15,Hambantota,2
15,Matara,0
15,Jaffna,4
15,Kilinochchi,0
15,Mannar,2
15,Vavuniya,0
15,Mullaitivu,0
15,Batticaloa,5
15,Ampara,0
15,Trincomalee,0
15,Kurunegala,3
15,Puttalam,0
15,Anuradhapura,0
15,Polonnaruwa,1
15,Badulla,1
15,Moneragala,1
15,Ratnapura,9
15,Kegalle,0
15,Kalmunai,2
16,Colombo,0
16,Gampaha,0
16,Kalutara,0
16,Kandy,0
16,Matale,0
16,Nuwara Eliya,1
16,Galle,0
16,Hambantota,0
16,Matara,0
16,Jaffna,2
16,Kilinochchi,1
16,Mannar,1
16,Vavuniya,0
16,Mullaitivu,0
16,Batticaloa,5
16,Ampara,2
16,Trincomalee,0
16,Kurunegala,0
16,Puttalam,0
16,Anuradhapura,1
16,Polonnaruwa,0
16,Badulla,0
16,Moneragala,0
16,Ratnapura,10
16,Kegalle,4
16,Kalmunai,2
17,Colombo,0
17,Gampaha,2
17,Kalutara,0
17,Kandy,3
17,Matale,1
17,Nuwara Eliya,1
17,Galle,0
17,Hambantota,0
17,Matara,2
17,Jaffna,0
17,Kilinochchi,7
17,Mannar,1
17,Vavuniya,1
17,Mullaitivu,0
17,Batticaloa,2
17,Ampara,14
17,Trincomalee,2
17,Kurunegala,3
17,Puttalam,0
17,Anuradhapura,1
17,Polonnaruwa,0
17,Badulla,1
17,Moneragala,0
17,Ratnapura,13
17,Kegalle,1
17,Kalmunai,1
18,Colombo,0
18,Gampaha,0
18,Kalutara,0
18,Kandy,0
18,Matale,1
18,Nuwara Eliya,0
18,Galle,1
18,Hambantota,0
18,Matara,0
18,Jaffna,2
18,Kilinochchi,0
18,Mannar,0
18,Vavuniya,0
18,Mullaitivu,2
18,Batticaloa,4
18,Ampara,1
18,Trincomalee,0
18,Kurunegala,4
18,Puttalam,0
18,Anuradhapura,0
18,Polonnaruwa,1
18,Badulla,2
18,Moneragala,1
18,Ratnapura,2
18,Kegalle,4
18,Kalmunai,0
19,Colombo,0
19,Gampaha,0
19,Kalutara,3
19,Kandy,3
19,Matale,2
19,Nuwara Eliya,0
19,Galle,1
19,Hambantota,2
19,Matara,0
19,Jaffna,0
19,Kilinochchi,1
19,Mannar,0
19,Vavuniya,0
19,Mullaitivu,1
19,Batticaloa,2
19,Ampara,2
19,Trincomalee,0
19,Kurunegala,1
19,Puttalam,0
19,Anuradhapura,0
19,Polonnaruwa,0
19,Badulla,0
19,Moneragala,0
19,Ratnapura,1
19,Kegalle,0
19,Kalmunai,1
20,Colombo,0
20,Gampaha,0
20,Kalutara,0
20,Kandy,0
20,Matale,0
20,Nuwara Eliya,1
20,Galle,0
20,Hambantota,1
20,Matara,0
20,Jaffna,4
20,Kilinochchi,0
20,Mannar,0
20,Vavuniya,1
20,Mullaitivu,0
20,Batticaloa,1
20,Ampara,3
20,Trincomalee,0
20,Kurunegala,1
20,Puttalam,0
20,Anuradhapura,0
20,Polonnaruwa,0
20,Badulla,0
20,Monaragala,0
20,Ratnapura,1
20,Kegalle,0
20,Kalmunai,1
21,Colombo,0
21,Gampaha,0
21,Kalutara,1
21,Kandy,1
21,Matale,2
21,Nuwara Eliya,3
21,Galle,0
21,Hambantota,0
21,Matara,0
21,Jaffna,1
21,Kilinochchi,0
21,Mannar,0
21,Vavuniya,0
21,Mullaitivu,0
21,Batticaloa,1
21,Ampara,1
21,Trincomalee,0
21,Kurunegala,4
21,Puttalam,0
21,Anuradhapura,0
21,Polonnaruwa,0
21,Badulla,1
21,Monaragala,2
21,Ratnapura,0
21,Kegalle,0
21,Kalmunai,1
22,Colombo,0
22,Gampaha,1
22,Kalutara,0
22,Kandy,1
22,Matale,0
22,Nuwara Eliya,2
22,Galle,2
22,Hambantota,2
22,Matara,0
22,Jaffna,0
22,Kilinochchi,0
22,Mannar,0
22,Vavuniya,0
22,Mullaitivu,0
22,Batticaloa,1
22,Ampara,4
22,Trincomalee,0
22,Kurunegala,2
22,Puttalam,3
22,Anuradhapura,1
22,Polonnaruwa,0
22,Badulla,1
22,Monaragala,0
22,Ratnapura,1
22,Kegalle,2
22,Kalmunai,1
23,Colombo,1
23,Gampaha,2
23,Kalutara,0
23,Kandy,1
23,Matale,0
23,Nuwara Eliya,3
23,Galle,0
23,Hambantota,1
23,Matara,1
23,Jaffna,2
23,Kilinochchi,1
23,Mannar,1
23,Vavuniya,1
23,Mullaitivu,1
23,Batticaloa,2
23,Ampara,1
23,Trincomalee,2
23,Kurunegala,1
23,Puttalam,1
23,Anuradhapura,1
23,Polonnaruwa,0
23,Badulla,1
23,Monaragala,0
23,Ratnapura,0
23,Kegalle,3
23,Kalmunai,1
24,Colombo,1
24,Gampaha,0
24,Kalutara,0
24,Kandy,2
24,Matale,0
24,Nuwara Eliya,2
24,Galle,1
24,Hambantota,1
24,Matara,0
24,Jaffna,1
24,Kilinochchi,1
24,Mannar,0
24,Vavuniya,0
24,Mullaitivu,0
24,Batticaloa,0
24,Ampara,2
24,Trincomalee,0
24,Kurunegala,0
24,Puttalam,4
24,Anuradhapura,0
24,Polonnaruwa,0
24,Badulla,0
24,Monaragala,1
24,Ratnapura,2
24,Kegalle,0
24,Kalmunai,0
25,Colombo,1
25,Gampaha,1
25,Kalutara,1
25,Kandy,0
25,Matale,1
25,Nuwara Eliya,1
25,Galle,0
25,Hambantota,0
25,Matara,0
25,Jaffna,1
25,Kilinochchi,0
25,Mannar,0
25,Vavuniya,1
25,Mullaitivu,0
25,Batticaloa,2
25,Ampara,0
25,Trincomalee,2
25,Kurunegala,1
25,Puttalam,1
25,Anuradhapura,0
25,Polonnaruwa,3
25,Badulla,1
25,Monaragala,0
25,Ratnapura,2
25,Kegalle,1
25,Kalmunai,2
26,Colombo,0
26,Gampaha,0
26,Kalutara,3
26,Kandy,1
26,Matale,0
26,Nuwara Eliya,2
26,Galle,1
26,Hambantota,0
26,Matara,1
26,Jaffna,3
26,Kilinochchi,0
26,Mannar,0
26,Vavuniya,0
26,Mullaitivu,0
26,Batticaloa,0
26,Ampara,0
26,Trincomalee,0
26,Kurunegala,2
26,Puttalam,2
26,Anuradhapura,1
26,Polonnaruwa,0
26,Badulla,1
26,Monaragala,1
26,Ratnapura,1
26,Kegalle,0
26,Kalmunai,0
27,Colombo,0
27,Gampaha,0
27,Kalutara,0
27,Kandy,0
27,Matale,0
27,Nuwara Eliya,4
27,Galle,1
27,Hambantota,0
27,Matara,1
27,Jaffna,4
27,Kilinochchi,1
27,Mannar,0
27,Vavuniya,0
27,Mullaitivu,0
27,Batticaloa,1
27,Ampara,2
27,Trincomalee,1
27,Kurunegala,1
27,Puttalam,2
27,Anuradhapura,1
27,Polonnaruwa,0
27,Badulla,1
27,Monaragala,0
27,Ratnapura,1
27,Kegalle,1
27,Kalmunai,0
28,Colombo,0
28,Gampaha,2
28,Kalutara,0
28,Kandy,0
28,Matale,1
28,Nuwara Eliya,4
28,Galle,0
28,Hambantota,0
28,Matara,1
28,Jaffna,1
28,Kilinochchi,0
28,Mannar,0
28,Vavuniya,0
28,Mullaitivu,0
28,Batticaloa,2
28,Ampara,1
28,Trincomalee,2
28,Kurunegala,2
28,Puttalam,0
28,Anuradhapura,0
28,Polonnaruwa,0
28,Badulla,0
28,Monaragala,1
28,Ratnapura,1
28,Kegalle,0
28,Kalmunai,0
29,Colombo,0
29,Gampaha,0
29,Kalutara,0
29,Kandy,0
29,Matale,3
29,Nuwara Eliya,6
29,Galle,2
29,Hambantota,3
29,Matara,0
29,Jaffna,2
29,Kilinochchi,0
29,Mannar,0
29,Vavuniya,0
29,Mullaitivu,0
29,Batticaloa,5
29,Ampara,1
29,Trincomalee,2
29,Kurunegala,1
29,Puttalam,0
29,Anuradhapura,1
29,Polonnaruwa,0
29,Badulla,0
29,Moneragala,2
29,Ratnapura,1
29,Kegalle,2
29,Kalmunai,2
30,Colombo,2
30,Gampaha,2
30,Kalutara,0
30,Kandy,1
30,Matale,0
30,Nuwara Eliya,2
30,Galle,0
30,Hambantota,1
30,Matara,0
30,Jaffna,2
30,Kilinochchi,0
30,Mannar,0
30,Vavuniya,0
30,Mullaitivu,0
30,Batticaloa,3
30,Ampara,3
30,Trincomalee,0
30,Kurunegala,0
30,Puttalam,0
30,Anuradhapura,0
30,Polonnaruwa,0
30,Badulla,0
30,Moneragala,1
30,Ratnapura,1
30,Kegalle,1
30,Kalmunai,1
31,Colombo,0
31,Gampaha,0
31,Kalutara,0
31,Kandy,0
31,Matale,0
31,Nuwara Eliya,2
31,Galle,2
31,Hambantota,3
31,Matara,1
31,Jaffna,4
31,Kilinochchi,2
31,Mannar,1
31,Vavuniya,0
31,Mullaitivu,0
31,Batticaloa,3
31,Ampara,1
31,Trincomalee,0
31,Kurunegala,2
31,Puttalam,0
31,Anuradhapura,0
31,Polonnaruwa,1
31,Badulla,0
31,Moneragala,0
31,Ratnapura,0
31,Kegalle,1
31,Kalmunai,1
32,Colombo,4
32,Gampaha,2
32,Kalutara,0
32,Kandy,0
32,Matale,0
32,Nuwara Eliya,1
32,Galle,1
32,Hambantota,1
32,Matara,0
32,Jaffna,2
32,Kilinochchi,0
32,Mannar,0
32,Vavuniya,0
32,Mullaitivu,0
32,Batticaloa,0
32,Ampara,1
32,Trincomalee,0
32,Kurunegala,0
32,Puttalam,1
32,Anuradhapura,0
32,Polonnaruwa,0
32,Badulla,0
32,Moneragala,3
32,Ratnapura,0
32,Kegalle,0
32,Kalmunai,2
32,Colombo,0
33,Gampaha,1
33,Kalutara,2
33,Kandy,0
33,Matale,1
33,Nuwara Eliya,2
33,Galle,2
33,Hambantota,4
33,Matara,0
33,Jaffna,3
33,Kilinochchi,0
33,Mannar,0
33,Vavuniya,0
33,Mullaitivu,0
33,Batticaloa,3
33,Ampara,0
33,Trincomalee,0
33,Kurunegala,2
33,Puttalam,1
33,Anuradhapura,3
33,Polonnaruwa,0
33,Badulla,1
33,Moneragala,0
33,Ratnapura,4
33,Kegalle,1
33,Kalmunai,0
34,Colombo,0
34,Gampaha,1
34,Kalutara,0
34,Kandy,0
34,Matale,0
34,Nuwara Eliya,0
34,Galle,0
34,Hambantota,1
34,Matara,0
34,Jaffna,2
34,Kilinochchi,1
34,Mannar,0
34,Vavuniya,0
34,Mullaitivu,0
34,Batticaloa,1
34,Ampara,1
34,Trincomalee,0
34,Kurunegala,1
34,Puttalam,0
34,Anuradhapura,0
34,Polonnaruwa,1
34,Badulla,0
34,Moneragala,0
34,Ratnapura,0
34,Kegalle,0
34,Kalmunai,1
35,Colombo,0
35,Gampaha,4
35,Kalutara,1
35,Kandy,4
35,Matale,0
35,Nuwara Eliya,3
35,Galle,6
35,Hambantota,5
35,Matara,2
35,Jaffna,3
35,Kilinochchi,0
35,Mannar,0
35,Vavuniya,0
35,Mullaitivu,0
35,Batticaloa,2
35,Ampara,2
35,Trincomalee,2
35,Kurunegala,2
35,Puttalam,0
35,Anuradhapura,0
35,Polonnaruwa,1
35,Badulla,3
35,Moneragala,0
35,Ratnapura,3
35,Kegalle,0
35,Kalmunai,3
36,Colombo,0
36,Gampaha,1
36,Kalutara,0
36,Kandy,0
36,Matale,0
36,Nuwara Eliya,1
36,Galle,1
36,Hambantota,0
36,Matara,0
36,Jaffna,0
36,Kilinochchi,0
36,Mannar,0
36,Vavuniya,0
36,Mullaitivu,0
36,Batticaloa,1
36,Ampara,1
