year,disease,analysis_type,identifier,value,avg_annual_rainfall_mm,month,national_avg_rainfall_mm
2023,Dysentery,Most Affected Area,Batticaloa,230,136.16666666666666,,
2023,Dysentery,Most Affected Area,Jaffna,160,103.25,,
2023,Dysentery,Most Affected Area,NuwaraEliya,157,,,
2023,Dysentery,Most Affected Area,Kalmune,71,,,
2023,Dysentery,Most Affected Area,Ratnapura,60,283.6666666666667,,
2023,Dysentery,Peak Week,Week 20,69,,5,177.8
2023,Dysentery,Peak Week,Week 45,59,,10,282.16
2023,Dysentery,Peak Week,Week 49,47,,11,315.12
2023,Dysentery,Peak Week,Week 44,41,,10,282.16
2023,Dysentery,Peak Week,Week 34,40,,8,95.76
2024,Dysentery,Most Affected Area,NuwaraEliya,157,,,
2024,Dysentery,Most Affected Area,Batticaloa,133,136.16666666666666,,
2024,Dysentery,Most Affected Area,Ratnapura,130,283.6666666666667,,
2024,Dysentery,Most Affected Area,Jaffna,74,103.25,,
2024,Dysentery,Most Affected Area,Galle,67,224.75,,
2024,Dysentery,Peak Week,Week 50,44,,12,227.76
2024,Dysentery,Peak Week,Week 30,39,,7,97.08
2024,Dysentery,Peak Week,Week 51,39,,12,227.76
2024,Dysentery,Peak Week,Week 49,35,,11,315.12
2024,Dysentery,Peak Week,Week 48,35,,11,315.12
2025,Dysentery,Most Affected Area,Batticaloa,119,136.16666666666666,,
2025,Dysentery,Most Affected Area,Ratnapura,100,283.6666666666667,,
2025,Dysentery,Most Affected Area,Jaffna,75,103.25,,
2025,Dysentery,Most Affected Area,Nuwara Eliya,71,194.33333333333334,,
2025,Dysentery,Most Affected Area,Ampara,54,139.33333333333334,,
2025,Dysentery,Peak Week,Week 5,66,,1,110.48
2025,Dysentery,Peak Week,Week 17,56,,4,172.4
2025,Dysentery,Peak Week,Week 35,46,,8,95.76
2025,Dysentery,Peak Week,Week 2,43,,1,110.48
2025,Dysentery,Peak Week,Week 15,37,,4,172.4
2023,Meningitis,Most Affected Area,Kurunegala,219,153.91666666666666,,
2023,Meningitis,Most Affected Area,Ratnapura,151,283.6666666666667,,
2023,Meningitis,Most Affected Area,Gampaha,120,213.08333333333334,,
2023,Meningitis,Most Affected Area,Kalutara,109,299.75,,
2023,Meningitis,Most Affected Area,Kegalle,91,295.8333333333333,,
2023,Meningitis,Peak Week,Week 37,67,,9,148.04
2023,Meningitis,Peak Week,Week 52,58,,12,227.76
2023,Meningitis,Peak Week,Week 51,47,,12,227.76
2023,Meningitis,Peak Week,Week 49,46,,11,315.12
2023,Meningitis,Peak Week,Week 39,43,,9,148.04
2024,Meningitis,Most Affected Area,Ratnapura,126,283.6666666666667,,
2024,Meningitis,Most Affected Area,NuwaraEliya,121,,,
2024,Meningitis,Most Affected Area,Batticaloa,117,136.16666666666666,,
2024,Meningitis,Most Affected Area,Kurunegala,101,153.91666666666666,,
2024,Meningitis,Most Affected Area,Galle,88,224.75,,
2024,Meningitis,Peak Week,Week 48,48,,11,315.12
2024,Meningitis,Peak Week,Week 42,47,,10,282.16
2024,Meningitis,Peak Week,Week 49,46,,11,315.12
2024,Meningitis,Peak Week,Week 51,42,,12,227.76
2024,Meningitis,Peak Week,Week 46,41,,11,315.12
2025,Meningitis,Most Affected Area,Kurunegala,140,153.91666666666666,,
2025,Meningitis,Most Affected Area,Gampaha,138,213.08333333333334,,
2025,Meningitis,Most Affected Area,Galle,134,224.75,,
2025,Meningitis,Most Affected Area,Kegalle,108,295.8333333333333,,
2025,Meningitis,Most Affected Area,Ratnapura,100,283.6666666666667,,
2025,Meningitis,Peak Week,Week 36,55,,8,95.76
2025,Meningitis,Peak Week,Week 4,54,,1,110.48
2025,Meningitis,Peak Week,Week 15,48,,4,172.4
2025,Meningitis,Peak Week,Week 8,47,,2,75.92
2025,Meningitis,Peak Week,Week 13,47,,3,94.92
