year,disease,district,Population,month_number,month_name,monthly_cases,monthly_incidence_per_100k,mean_monthly_cases,std_monthly_cases,alert_threshold_monthly_cases,outbreak_threshold_monthly_cases,month_status_2024
2024,Dysentery,Ampara,744551,1,January,3,0.4029274018838199,3.8333333333333335,1.404358295529393,7,9,normal
2024,Dysentery,Ampara,744551,2,February,5,0.6715456698063665,3.8333333333333335,1.404358295529393,7,9,normal
2024,Dysentery,Ampara,744551,3,March,4,0.5372365358450932,3.8333333333333335,1.404358295529393,7,9,normal
2024,Dysentery,Ampara,744551,4,April,4,0.5372365358450932,3.8333333333333335,1.404358295529393,7,9,normal
2024,Dysentery,Ampara,744551,5,May,4,0.5372365358450932,3.8333333333333335,1.404358295529393,7,9,normal
2024,Dysentery,Ampara,744551,6,June,4,0.5372365358450932,3.8333333333333335,1.404358295529393,7,9,normal
2024,Dysentery,Ampara,744551,7,July,6,0.8058548037676398,3.8333333333333335,1.404358295529393,7,9,normal
2024,Dysentery,Ampara,744551,8,August,1,0.1343091339612733,3.8333333333333335,1.404358295529393,7,9,normal
2024,Dysentery,Ampara,744551,9,September,2,0.2686182679225466,3.8333333333333335,1.404358295529393,7,9,normal
2024,Dysentery,Ampara,744551,10,October,4,0.5372365358450932,3.8333333333333335,1.404358295529393,7,9,normal
2024,Dysentery,Ampara,744551,11,November,6,0.8058548037676398,3.8333333333333335,1.404358295529393,7,9,normal
2024,Dysentery,Ampara,744551,12,December,3,0.4029274018838199,3.8333333333333335,1.404358295529393,7,9,normal
2024,Dysentery,Anuradhapura,960080,1,January,0,0.0,3.0833333333333335,3.121386800054673,10,13,normal
2024,Dysentery,Anuradhapura,960080,2,February,2,0.20831597366886093,3.0833333333333335,3.121386800054673,10,13,normal
2024,Dysentery,Anuradhapura,960080,3,March,1,0.10415798683443046,3.0833333333333335,3.121386800054673,10,13,normal
2024,Dysentery,Anuradhapura,960080,4,April,1,0.10415798683443046,3.0833333333333335,3.121386800054673,10,13,normal
2024,Dysentery,Anuradhapura,960080,5,May,3,0.3124739605032914,3.0833333333333335,3.121386800054673,10,13,normal
2024,Dysentery,Anuradhapura,960080,6,June,1,0.10415798683443046,3.0833333333333335,3.121386800054673,10,13,normal
2024,Dysentery,Anuradhapura,960080,7,July,4,0.41663194733772185,3.0833333333333335,3.121386800054673,10,13,normal
2024,Dysentery,Anuradhapura,960080,8,August,10,1.0415798683443047,3.0833333333333335,3.121386800054673,10,13,alert
2024,Dysentery,Anuradhapura,960080,9,September,9,0.9374218815098742,3.0833333333333335,3.121386800054673,10,13,normal
2024,Dysentery,Anuradhapura,960080,10,October,1,0.10415798683443046,3.0833333333333335,3.121386800054673,10,13,normal
2024,Dysentery,Anuradhapura,960080,11,November,1,0.10415798683443046,3.0833333333333335,3.121386800054673,10,13,normal
2024,Dysentery,Anuradhapura,960080,12,December,4,0.41663194733772185,3.0833333333333335,3.121386800054673,10,13,normal
2024,Dysentery,Badulla,872307,1,January,5,0.5731926947737437,3.75,2.0052015692526606,8,10,normal
2024,Dysentery,Badulla,872307,2,February,2,0.22927707790949745,3.75,2.0052015692526606,8,10,normal
2024,Dysentery,Badulla,872307,3,March,1,0.11463853895474872,3.75,2.0052015692526606,8,10,normal
2024,Dysentery,Badulla,872307,4,April,2,0.22927707790949745,3.75,2.0052015692526606,8,10,normal
2024,Dysentery,Badulla,872307,5,May,1,0.11463853895474872,3.75,2.0052015692526606,8,10,normal
