District,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
Colombo,62,69,130,253,382,186,125,119,245,365,414,175,"2,525"
Gampaha,65,72,145,260,350,210,140,125,230,380,400,180,"2,557"
Kalutara,102,105,210,360,480,350,250,230,360,480,430,240,"3,597"
Kandy,79,74,71,188,154,190,169,135,155,295,302,159,"1,971"
Matale,135,61,69,187,163,131,121,98,128,288,286,189,"1,856"
Nuwara Eliya,108,87,75,168,265,272,231,191,204,299,234,198,"2,332"
Galle,95,92,153,245,344,225,195,188,260,355,350,195,"2,697"
Matara,87,98,97,164,243,189,131,155,217,272,302,158,"2,113"
Hambantota,58,46,54,107,88,59,48,49,72,175,191,115,"1,062"
Jaffna,70,33,22,60,45,14,24,33,63,249,350,276,"1,239"
Mannar,68,35,45,98,48,3,5,8,22,168,235,205,940
Vavuniya,75,42,58,125,78,15,28,45,78,245,265,210,"1,264"
Mullaitivu,95,55,60,110,65,12,22,35,70,235,320,285,"1,364"
Kilinochchi,85,40,35,75,55,8,15,25,65,240,340,290,"1,273"
Batticaloa,209,121,101,63,51,27,28,38,75,181,353,387,"1,634"
Ampara,253,134,66,72,59,28,44,41,96,185,309,385,"1,672"
Trincomalee,165,85,62,65,62,25,55,72,105,195,345,365,"1,601"
Kurunegala,72,65,95,215,165,115,85,95,145,325,315,155,"1,852"
Puttalam,55,42,65,155,115,45,25,28,65,225,215,135,"1,170"
Anuradhapura,84,55,74,157,84,11,29,39,78,253,247,215,"1,326"
Polonnaruwa,165,95,85,145,75,18,35,42,85,225,285,295,"1,550"
Badulla,183,78,88,174,115,31,64,75,127,240,276,249,"1,700"
Moneragala,145,85,115,195,95,35,45,48,85,245,285,215,"1,593"
Ratnapura,132,124,213,344,449,307,218,205,316,459,414,223,"3,404"
Kegalle,115,105,185,325,415,395,295,275,355,475,415,195,"3,555"
