Region,Population
Colombo,"2,375,415"
Gampaha,"2,436,142"
Kalutara,"1,305,784"
Kandy,"1,461,895"
Matale,"526,870"
Nuwara Eliya,"725,280"
Galle,"1,097,372"
Hambantota,"837,889"
Matara,"671,418"
Jaffna,"594,751"
Kilinochchi,"123,756"
Mannar,"172,312"
Vavuniya,"122,619"
Mullaitivu,"136,710"
Batticaloa,"595,918"
Ampara,"744,551"
Trincomalee,"442,745"
Kurunegala,"1,768,156"
Puttalam,"818,816"
Anuradhapura,"960,080"
Polonnaruwa,"447,530"
Badulla,"872,307"
Monaragala,"527,585"
Ratnapura,"1,145,423"
Kegalle,"870,476"
Kalmunai,"52,798"
