disease,area_reported,mean_incidence,std_incidence,mean_cases,std_cases,population,weeks,lower_threshold,upper_threshold,outbreak_threshold
Dysentery,Ampara,0.11881192619651101,0.12376646360332887,0.8846153846153846,0.921504442423221,744551,52,0.0,0.24257838979983987,0.36634485340316875
Dysentery,Anuradhapura,0.07411241370911398,0.12261242703665809,0.7115384615384616,1.1771773894935469,960080,52,0.0,0.19672484074577207,0.31933726778243016
Dysentery,Badulla,0.09920642794160948,0.12440271959842562,0.8653846153846154,1.0851736312474385,872307,52,0.0,0.2236091475400351,0.3480118671384607
Dysentery,Batticaloa,0.42920205593593547,0.2998413443000424,2.5576923076923075,1.786808542125926,595918,52,0.12936071163589308,0.7290434002359778,1.0288847445360203
Dysentery,Colombo,0.03643088114643611,0.052744472222189136,0.8653846153846154,1.252900104836714,2375415,52,0.0,0.08917535336862525,0.1419198255908144
Dysentery,Galle,0.11741337836773114,0.12015917185518371,1.2884615384615385,1.3185931073706665,1097372,52,0.0,0.23757255022291485,0.35773172207809856
Dysentery,Gampaha,0.03710153816346313,0.04826875485604353,0.9038461538461539,1.175895409925116,2436142,52,0.0,0.08537029301950666,0.1336390478755502
Dysentery,Hambantota,0.05737863019674811,0.08011442201766397,0.4807692307692308,0.6712699294995845,837889,52,0.0,0.13749305221441208,0.21760747423207605
Dysentery,Jaffna,0.23927272473302663,0.20885547848920558,1.4230769230769231,1.242170046869335,594751,52,0.030417246243821056,0.44812820322223224,0.6569836817114378
Dysentery,Kalmunai,0.8741589862086852,1.2697958289509632,0.46153846153846156,0.6704268017695295,52798,52,0.0,2.143954815159648,3.4137506441106114
Dysentery,Kalutara,0.05301854612307184,0.07357793653701707,0.6923076923076923,0.9607689228305227,1305784,52,0.0,0.1265964826600889,0.20017441919710596
Dysentery,Kandy,0.04604139990060319,0.07259633076454433,0.6730769230769231,1.0612821296303352,1461895,52,0.0,0.11863773066514752,0.19123406142969185
Dysentery,Kegalle,0.07953208271195213,0.1171955116850134,0.6923076923076923,1.020158802295237,870476,52,0.0,0.19672759439696552,0.31392310608197893
Dysentery,Kilinochchi,0.2797067181824284,0.4493180883951318,0.34615384615384615,0.5560580934742794,123756,52,0.0,0.7290248065775602,1.1783428949726922
Dysentery,Kurunegala,0.06416941630802851,0.05929416268305423,1.1346153846153846,1.0484132951301846,1768156,52,0.004875253624974284,0.12346357899108273,0.18275774167413697
Dysentery,Mannar,0.2008878349469835,0.36132189078102095,0.34615384615384615,0.6226009764425928,172312,52,0.0,0.5622097257280044,0.9235316165090254
Dysentery,Matale,0.07300005402003996,0.12552746667241102,0.38461538461538464,0.6613665636569319,526870,52,0.0,0.198527520692451,0.324054987364862
Dysentery,Matara,0.03723462880053856,0.07733449982483871,0.25,0.5192377520339357,671418,52,0.0,0.11456912862537727,0.19190362845021597
Dysentery,Monaragala,0.08748134642540283,0.13771613271680166,0.46153846153846156,0.7265696587939381,527585,52,0.0,0.2251974791422045,0.36291361185900617
Dysentery,Mullaitivu,0.16880201211998447,0.3725693944669687,0.23076923076923078,0.5093396191757928,136710,52,0.0,0.5413714065869532,0.9139408010539218
