week_number,area_reported,cases_reported,disease,Region,Population,incidence_per_100k,lower_threshold,upper_threshold,outbreak_threshold,risk_level
1,Ampara,0,Dysentery,Ampara,744551,0.0,0.0,0.21664068022296257,0.3273837740533827,Normal
1,Anuradhapura,0,Dysentery,Anuradhapura,960080,0.0,0.0,0.26004980454721865,0.4039233930098802,Normal
1,Badulla,1,Dysentery,Badulla,872307,0.11463853895474874,0.0,0.2030811009333332,0.31797871036301356,Normal
1,Batticaloa,1,Dysentery,Batticaloa,595918,0.16780832262156875,0.04546648792177449,0.7096709638752847,1.04177320185204,Normal
1,Colombo,0,Dysentery,Colombo,2375415,0.0,0.0,0.10771529450315195,0.17414225704034297,Normal
1,Galle,1,Dysentery,Galle,1097372,0.09112680112122416,0.0,0.31311851162715504,0.47202243674146915,Normal
1,Gampaha,0,Dysentery,Gampaha,2436142,0.0,0.0,0.13140642503886504,0.20597645118902064,Normal
1,Hambantota,0,Dysentery,Hambantota,837889,0.0,0.0,0.1603972618550357,0.24964502226610374,Normal
1,Jaffna,1,Dysentery,Jaffna,594751,0.16813759035293763,0.0,0.39062874603642456,0.5904859953262468,Normal
1,Kalmunai,1,Dysentery,Kalmunai,52798,1.8940111367854844,0.0,3.619375203727471,5.7089721815897425,Normal
1,Kalutara,1,Dysentery,Kalutara,1305784,0.07658234439999265,0.0,0.13860505357343197,0.21830061145456192,Normal
1,Kandy,0,Dysentery,Kandy,1461895,0.0,0.0,0.10103289087393189,0.16523266182738122,Normal
1,Kegalle,0,Dysentery,Kegalle,870476,0.0,0.0,0.2983728125670497,0.4774475010661711,Normal
1,Kilinochchi,0,Dysentery,Kilinochchi,123756,0.0,0.0,0.7088035855644657,1.1534397150677487,Normal
1,Kurunegala,0,Dysentery,Kurunegala,1768156,0.0,0.0010249373527276284,0.21867374221035302,0.3274981446391657,Below Expected
1,Mannar,1,Dysentery,Mannar,172312,0.5803426342912856,0.0,0.8232922102198853,1.4122152796682899,Normal
1,Matale,0,Dysentery,Matale,526870,0.0,0.0,0.2734278698085139,0.46290567749398187,Normal
1,Matara,0,Dysentery,Matara,671418,0.0,0.0,0.1601078791758683,0.26293171404321575,Normal
1,Monaragala,0,Dysentery,Monaragala,527585,0.0,0.0,0.30649439775969956,0.4854118319823533,Normal
1,Mullaitivu,1,Dysentery,Mullaitivu,136710,0.731475385853266,0.0,0.5193679204653832,0.8840006631541137,Warning
1,Nuwara Eliya,2,Dysentery,Nuwara Eliya,725280,0.2757555702625193,0.0,0.6979024411790662,1.0749738823411628,Normal
1,Polonnaruwa,0,Dysentery,Polonnaruwa,447530,0.0,0.0,0.23184613934708365,0.36056210607144673,Normal
1,Puttalam,0,Dysentery,Puttalam,818816,0.0,0.0,0.24621809202003359,0.4008405141948272,Normal
1,Ratnapura,4,Dysentery,Ratnapura,1145423,0.34921596650320447,0.07394248078540822,0.3491460940165511,0.4867479006321226,Warning
1,Trincomalee,1,Dysentery,Trincomalee,442745,0.22586364611683926,0.0,0.21459021877615977,0.34230980443045833,Warning
1,Vavuniya,1,Dysentery,Vavuniya,122619,0.8155342972948728,0.0,0.8993984542089735,1.4851298709968421,Normal
2,Ampara,0,Dysentery,Ampara,744551,0.0,0.0,0.21664068022296257,0.3273837740533827,Normal
2,Anuradhapura,0,Dysentery,Anuradhapura,960080,0.0,0.0,0.26004980454721865,0.4039233930098802,Normal
2,Badulla,1,Dysentery,Badulla,872307,0.11463853895474874,0.0,0.2030811009333332,0.31797871036301356,Normal
2,Batticaloa,9,Dysentery,Batticaloa,595918,1.5102749035941185,0.04546648792177449,0.7096709638752847,1.04177320185204,High Risk
2,Colombo,0,Dysentery,Colombo,2375415,0.0,0.0,0.10771529450315195,0.17414225704034297,Normal
2,Galle,3,Dysentery,Galle,1097372,0.2733804033636725,0.0,0.31311851162715504,0.47202243674146915,Normal
2,Gampaha,1,Dysentery,Gampaha,2436142,0.04104851030851239,0.0,0.13140642503886504,0.20597645118902064,Normal
2,Hambantota,0,Dysentery,Hambantota,837889,0.0,0.0,0.1603972618550357,0.24964502226610374,Normal
2,Jaffna,2,Dysentery,Jaffna,594751,0.33627518070587525,0.0,0.39062874603642456,0.5904859953262468,Normal
2,Kalmunai,2,Dysentery,Kalmunai,52798,3.7880222735709688,0.0,3.619375203727471,5.7089721815897425,Warning
2,Kalutara,0,Dysentery,Kalutara,1305784,0.0,0.0,0.13860505357343197,0.21830061145456192,Normal
2,Kandy,1,Dysentery,Kandy,1461895,0.06840436556661046,0.0,0.10103289087393189,0.16523266182738122,Normal
2,Kegalle,0,Dysentery,Kegalle,870476,0.0,0.0,0.2983728125670497,0.4774475010661711,Normal
2,Kilinochchi,0,Dysentery,Kilinochchi,123756,0.0,0.0,0.7088035855644657,1.1534397150677487,Normal
